127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000265
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001460
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.002479
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000884
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000517
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000428
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000405
127.0.0.1, 2015-10-06 18:10:30, GET, /myapp/default/first, HTTP/1.1, 303, 0.007558
127.0.0.1, 2015-10-06 18:10:30, GET, /myapp/default/second, HTTP/1.1, 200, 0.010458
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/default/second, HTTP/1.1, 200, 0.010833
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.001560
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001133
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001640
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002103
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000739
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.001868
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.000715
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000480
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000645
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000312
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000263
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.001231
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.002006
127.0.0.1, 2015-10-06 18:14:34, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000388
127.0.0.1, 2015-10-06 18:14:36, GET, /myapp/default/first, HTTP/1.1, 200, 0.011377
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/default/first, HTTP/1.1, 200, 0.010693
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000668
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.000344
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000630
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001339
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000718
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000927
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000314
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.001285
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.001837
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001671
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.001637
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000768
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000631
127.0.0.1, 2015-10-06 18:18:56, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.001156
127.0.0.1, 2015-10-06 18:18:57, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000378
127.0.0.1, 2015-10-06 18:19:00, GET, /myapp/default/first, HTTP/1.1, 200, 0.014581
127.0.0.1, 2015-10-06 18:19:04, GET, /myapp/default/first, HTTP/1.1, 200, 0.011790
127.0.0.1, 2015-10-06 18:19:21, GET, /myapp/default/first, HTTP/1.1, 200, 0.011677
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/default/first, HTTP/1.1, 200, 0.011833
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000368
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000528
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001088
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001410
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000491
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.001742
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.001053
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000642
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001331
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000555
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.001314
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000873
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000344
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.001335
127.0.0.1, 2015-10-06 18:19:32, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000268
127.0.0.1, 2015-10-06 18:19:36, GET, /myapp/default/first, HTTP/1.1, 200, 0.011613
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/default/first, HTTP/1.1, 200, 0.011294
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000567
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000999
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001679
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000437
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.001323
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001579
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000781
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.001189
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001368
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.001078
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000634
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000374
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.001297
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.001117
127.0.0.1, 2015-10-06 18:20:45, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000278
127.0.0.1, 2015-10-06 18:20:47, GET, /myapp/default/first, HTTP/1.1, 200, 0.011987
127.0.0.1, 2015-10-06 18:21:29, GET, /myapp/default/first, HTTP/1.1, 200, 0.015038
127.0.0.1, 2015-10-06 18:21:29, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000397
127.0.0.1, 2015-10-06 18:21:29, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001734
127.0.0.1, 2015-10-06 18:21:29, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001035
